Property Name 1|Property Name 2|Site City|Site State|SPE ID|iHotelier ID|1BRRate|2BRRate|WVO Brand
Avenue Plaza Resort|Avenue Plaza Resort|New Orleans|LA|51224|3553|214.89|0|WVR
Wyndham Desert Blue|Desert Blue|Las Vegas|NV|51238|97093|150|0|WVR
Bluebeard's Beach Club|Bluebeards Beach Club|St. Thomas|US Virgin Islands|51345|2943|162.5|0|WVR
CARRIAGE RIDGE RESORT|CARRIAGE RIDGE RESORT|Barrie|ON|51383|95813|0|145|SVC
CROTCHED MOUNTAIN RESORT|CROTCHED MOUNTAIN RESORT|Francestown|NH|51385|95817|255|275|SVC
Desert Rose Resort|Desert Rose Resort|Las Vegas|NV|51347|95812|190|210|SVC
Dolphin's Cove Resort|Dolphin's Cove Resort|||1|5705|163|0|WVR
HOLUA RESORT AT MAUNA LOA VILL|Holua Resort|Kailua-Kona|HI|51390|95810|180|200|SVC
Inn at the Opera|Inn At The Opera|San Francisco|CA|51352|95800|205|0|SVC
Inn at the Park|Inn at the Park|San Diego|CA|51391|10209|185|0|SVC
KAUAI COAST RESORT AT THE BEAC|Kauai Coast at the Beachboy|Kapaa|HI|51348|95802|175|0|SVC
Kona Coast Resort|Kona Coast Resort|Kailua-Kona|HI|51355|95804|210|0|SVC
THE LEGACY GOLF RESORT|Legacy Golf Resort|Phoenix|AZ|51351|95831|115|135|SVC
MARGARITAVILLE VACATION CLUB -|Margaritaville Vacation Club Wyndham Rio Mar|Rio Grande|PR|51240|14887|181.67|0|MGVC
Mountainside Lodge|Mountainside Lodge|Whistler|BC|51392|95814|225|0|SVC
Orange Tree Golf Resort|Orange Tree Golf Resort|Scottsdale|AZ|51349|95806|135|0|SVC
PANIOLO GREENS RESORT|PANIOLO GREENS RESORT|Waikoloa|HI|51393|95811|0|200|SVC
Peacock Suites|Peacock Suites|||2|95798|145|0|SVC
Star Island VR|Star Island|Kissimmee|FL|51245|5066|190|213.95|WVR
Starr Pass Golf Suites|Starr Pass Golf Suites|Tucson|AZ|51353|95808|125|0|SVC
Suites at Fisherman's Wharf|Suites at Fisherman's Wharf|San Francisco|CA|51354|95809|180|0|SVC
The Donatello|The Donatello|San Francisco|CA|51251|131321|200|0|SVC
Vino Bello Resort|Vino Bello Resort|Napa|CA|51241|95816|190|0|SVC
WAIKIKI MARINA RESORT AT THE I|Waikiki Marina Resort at the Ilikai|Honolulu-Oahu|HI|51350|95815|215|0|SVC
Wyndham at Waikiki Beach Walk|Wyndham at Waikiki Beach Walk|Honolulu-Oahu|HI|51250|6941|321|0|WVR
Wyndham Bali Hai Villas|Bali Hai|Princeville-Kauai|HI|51229|6926|190|212.98|WVR
Wyndham Bay Voyage Inn|Bay Voyage|Jamestown|RI|51397|2948|160|0|WVR
Wyndham Bentley Brook|Bentley Brook|Hancock|MA|51398|2949|0|208.95|WVR
Wyndham Bonnet Creek Resort|Bonnet  Creek|Orlando|FL|51227|5063|243|266|WVR
Wyndham Branson at The Falls|The Falls|Branson|MO|51335|5075|132|0|WVR
WYNDHAM BRANSON AT THE MEADOWS|Wyndham Branson Meadows|Branson|MO|51236|2987|110|132|WVR
San Francisco|Wyndham Canterbury at San Francisco|San Francisco|CA|51231|17766|324|0|WVR
WYNDHAM CANTEBURY AT SAN FRANC|Wyndham Canterbury at San Francisco|San Francisco|CA|51231|17766|324|0|WVR
WYNDHAM CLEARWATER BEACH|Wyndham Clearwater Beach Resort|Clearwater Beach|FL|51399|99889|399|0|WVR
Wyndham Cypress Palms|Cypress Palms|Kissimmee|FL|51230|2963|133.59|0|WVR
Wyndham Durango|Durango|Durango|CO|51400|3560|157|0|WVR
Wyndham Dye Villas at Myrtle Beach|Wyndham Dye Villas at Myrtle Beach|North Myrtle Beach|SC|51343|97709|264|0|WVR
Wyndham Governor's Green|Govenors Green|Williamsburg|VA|51402|5032|185|0|WVR
Wyndham Grand Desert|Grand Desert|Las Vegas|NV|51226|2960|134.64|0|WVR
